           ******* TWO SAMPLE TEST ******
    
        TITLE : L500 Seyferts                                                                   
    
        DATA SET : two_sampl
        VARIABLE : L500     
        TESTED GROUPS ARE Sy1       AND Sy2      
     
      # OF DATA POINTS : 261, # OF UPPER LIMITS : 138
      # OF DATA POINTS IN GROUP I  : 125
      # OF DATA POINTS IN GROUP II : 136
     
 DISTINCT FAILURES         R(I)            M(I)        M(I)/R(I)         H(I)
              41.663          0.442
              41.661          0.447
              41.649          0.457
              41.645          0.462
              41.632         -0.533
              41.623          0.461
              41.599         -0.529
              41.592          0.459
              41.591          0.464
              41.591          0.470
              41.586          0.476
              41.553          0.446
              41.519          0.458
              41.517         -0.535
              41.464          0.455
              41.458         -0.538
              41.443         -0.547
              41.422          0.452
              41.405         -0.541
              41.403          0.450
              41.388          0.446
              41.350         -0.558
              41.337          0.413
              41.328          0.422
              41.272          0.429
              41.146          0.471
              41.101         -0.516
              41.099          0.467
              41.060          0.483
              40.907          0.429
              40.897         -0.550
              40.733         -0.692
          TEST STATISTIC        =       1.542
          PROBABILITY           =       0.1231

     
        PETO & PETO GENERALIZED WILCOXON TEST
     
          WW =     -4.83
          VAR=     16.715
     


               T(I)         SCORE(I)
              43.550          0.000
              43.264          0.996
              43.122          0.988
              42.956         -0.008
              42.821          0.981
              42.814          0.973
              42.761         -0.015
              42.701         -0.015
              42.683          0.965
              42.664         -0.019
              42.646          0.957
              42.630         -0.023
              42.613          0.950
              42.592         -0.027
              42.588          0.942
              42.569         -0.031
              42.559          0.934
              42.550          0.926
              42.538         -0.039
              42.519          0.918
              42.512          0.910
              42.510          0.902
              42.510          0.894
              42.508          0.886
              42.497         -0.059
              42.496         -0.059
              42.494          0.878
              42.463          0.870
              42.461         -0.067
              42.461         -0.067
              42.454          0.862
              42.452          0.854
              42.448         -0.075
              42.428         -0.075
              42.423          0.846
              42.421         -0.079
              42.410          0.838
              42.406         -0.083
              42.406          0.830
              42.401          0.821
              42.398         -0.091
              42.392          0.813
              42.386         -0.095
              42.375         -0.095
              42.374          0.805
              42.370         -0.100
              42.369          0.797
              42.358         -0.104
              42.350          0.788
              42.348          0.780
              42.345         -0.112
              42.345          0.771
              42.339         -0.116
              42.333         -0.116
              42.330         -0.116
              42.323          0.763
              42.310         -0.121
              42.306         -0.121
              42.305          0.754
              42.304         -0.125
              42.295          0.746
              42.292         -0.129
              42.284          0.737
              42.275         -0.134
              42.264         -0.134
              42.260          0.728
              42.252         -0.138
              42.251          0.719
              42.245          0.710
              42.240         -0.147
              42.235          0.701
              42.225          0.692
              42.224         -0.156
              42.217         -0.156
              42.210          0.683
              42.203          0.674
              42.198         -0.165
              42.191         -0.165
              42.181          0.665
              42.180         -0.170
              42.179         -0.170
              42.179          0.656
              42.178          0.647
              42.178         -0.179
              42.171         -0.179
              42.171          0.638
              42.143          0.628
              42.129         -0.188
              42.121         -0.188
              42.119          0.619
              42.116          0.609
              42.110         -0.198
              42.107          0.600
              42.099          0.591
              42.088         -0.207
              42.086         -0.207
              42.075         -0.207
              42.068          0.581
              42.067          0.571
              42.066          0.562
              42.062          0.552
              42.049         -0.226
              42.035          0.542
              42.034          0.532
              42.033          0.523
              42.027         -0.241
              42.021         -0.241
              42.017         -0.241
              42.015          0.513
              42.014         -0.246
              42.014          0.503
              42.014          0.493
              42.011         -0.256
              42.005          0.483
              41.992          0.473
              41.984         -0.266
              41.980          0.463
              41.979         -0.271
              41.978          0.453
              41.969          0.442
              41.936         -0.281
              41.936          0.432
              41.928          0.422
              41.923         -0.292
              41.915          0.412
              41.914         -0.297
              41.912          0.401
              41.910          0.391
              41.902         -0.307
              41.900         -0.307
              41.899         -0.307
              41.898          0.380
              41.889          0.370
              41.885          0.359
              41.880          0.348
              41.876         -0.328
              41.876         -0.328
              41.872         -0.328
              41.871          0.338
              41.865          0.327
              41.864          0.316
              41.849          0.305
              41.848          0.294
              41.840         -0.356
              41.826          0.283
              41.822          0.272
              41.818         -0.367
              41.818          0.261
              41.792         -0.372
              41.787          0.250
              41.778          0.238
              41.764          0.227
              41.757          0.216
              41.751          0.205
              41.748          0.194
              41.748         -0.406
              41.737         -0.406
              41.734          0.182
              41.729         -0.412
              41.713          0.171
              41.707         -0.417
              41.707         -0.417
              41.693          0.159
              41.680          0.147
              41.680         -0.429
              41.676         -0.429
              41.663          0.136
              41.661          0.124
              41.657         -0.441
              41.649          0.111
              41.645          0.099
              41.632          0.087
              41.623          0.075
              41.600         -0.466
              41.599          0.063
              41.594         -0.472
              41.592          0.050
              41.591          0.038
              41.591          0.026
              41.586          0.013
              41.585         -0.497
              41.584         -0.497
              41.578         -0.497
              41.567         -0.497
              41.563         -0.497
              41.557         -0.497
              41.554         -0.497
              41.553          0.000
              41.543         -0.503
              41.519         -0.014
              41.517         -0.027
              41.502         -0.517
              41.494         -0.517
              41.477         -0.517
              41.468         -0.517
              41.464         -0.042
              41.458         -0.056
