           ******* TWO SAMPLE TEST ******
    
        TITLE : L500 Seyferts                                                                   
    
        DATA SET : two_sampl
        VARIABLE : L500     
        TESTED GROUPS ARE Sy 1      AND Sy 2     
     
      # OF DATA POINTS : 306, # OF UPPER LIMITS : 166
      # OF DATA POINTS IN GROUP I  : 149
      # OF DATA POINTS IN GROUP II : 157
     
 DISTINCT FAILURES         R(I)            M(I)        M(I)/R(I)         H(I)
              42.314         -0.108
              42.311          0.781
              42.309         -0.111
              42.303          0.774
              42.302         -0.115
              42.299         -0.115
              42.299          0.767
              42.298          0.760
              42.294          0.753
              42.294         -0.125
              42.290         -0.125
              42.289         -0.125
              42.282         -0.125
              42.282          0.746
              42.270         -0.129
              42.268          0.738
              42.267         -0.133
              42.267          0.731
              42.266          0.724
              42.264         -0.140
              42.259         -0.140
              42.258         -0.140
              42.254         -0.140
              42.247          0.716
              42.247          0.709
              42.245         -0.148
              42.245         -0.148
              42.243         -0.148
              42.241         -0.148
              42.238         -0.148
              42.238          0.701
              42.235          0.693
              42.232         -0.155
              42.229         -0.155
              42.228          0.686
              42.228          0.678
              42.228         -0.163
              42.221         -0.163
              42.221         -0.163
              42.221         -0.163
              42.219         -0.163
              42.217          0.670
              42.214         -0.167
              42.209          0.662
              42.205         -0.171
              42.202          0.654
              42.199         -0.175
              42.190         -0.175
              42.190         -0.175
              42.187         -0.175
              42.182         -0.175
              42.181          0.646
              42.175         -0.179
              42.175          0.638
              42.173         -0.183
              42.172         -0.183
              42.168          0.630
              42.158          0.622
              42.156          0.613
              42.152          0.605
              42.152          0.597
              42.152         -0.204
              42.147          0.588
              42.145         -0.208
              42.144         -0.208
              42.143         -0.208
              42.138         -0.208
              42.137          0.580
              42.136         -0.212
              42.132          0.571
              42.111         -0.216
              42.108         -0.216
              42.105          0.563
              42.105         -0.221
              42.104         -0.221
              42.102         -0.221
              42.099         -0.221
              42.097         -0.221
              42.092          0.554
              42.085         -0.225
              42.082         -0.225
              42.081         -0.225
              42.076         -0.225
              42.075          0.545
              42.067          0.536
              42.066         -0.234
              42.060         -0.234
              42.059          0.527
