HRS_1	CGCG	VCC	UGC	NGC	IC	Dist_Mpc	Type	E_BV	a	b	pa	FUVasy	e_FUVasy	NUVasy	e_NUVasy	logMstart	Flag12	S12	err12	Flag22	S22	err22	Flag100	S100	err100	Flag160	S160	err160	Flag250	S250	err_tot250	Flag350	S350	err_tot350	Flag500	S500	err_tot500	Npix250	Npix350	Npix500	err_inst250	err_inst350	err_inst500	err_conf250	err_conf350	err_conf500	err_sky250	err_sky350	err_sky500	Note
37	155051	0	6128	3512	0	19.61	7	0.028	68.04	63.42	138	15.137	0.06	14.801	0.03	9.53	1	155.24	2.9	1	131.4	9.61	1	4.53E+00	3.46E-01	1	5.33E+00	5.13E-01	1	2525.4	90.1	1	1085.9	55.2	1	364.7	27.1	375	216	95	10.2	7.7	6.3	32.2	26.7	19.4	83.5	47.7	17.9	-
38	38129	0	6167	3526	0	20.27	7	0.033	82.88	44.88	55	-99.99	-99.99	-99.99	-99.99	9.1	1	41.72	2.98	1	49.11	7.79	1	1.82E+00	2.91E-01	1	1.89E+00	2.86E-01	1	1273.1	52.5	1	678.2	30.2	1	276.9	21.1	320	184	80	9.1	6.9	5.3	29.8	24.6	17.8	42.3	16.1	10	-
39	66115	0	6169	0	0	22.24	5	0.015	80.8	39.15	180	16.937	0.068	16.589	0.03	9.08	1	31.24	1.82	1	24.4	4.1	1	9.15E-01	2.10E-01	1	1.20E+00	3.33E-01	1	836.7	57.6	1	442.9	35.1	1	201.7	24.9	276	150	71	8.3	6.3	5	27.6	22.2	16.8	49.9	26.5	17.7	-
40	67019	0	6209	3547	0	22.63	5	0.024	80.22	39.48	7	15.465	0.05	14.996	0.03	9.18	1	121.6	4.09	1	138.01	9.61	1	4.48E+00	3.05E-01	1	4.51E+00	3.63E-01	1	2037.2	48.8	1	878.5	35	1	308.3	24.6	276	154	71	9.6	6.8	5.3	27.6	22.5	16.8	39.1	25.9	17.3	-
41	96011	0	6267	3592	0	18.61	7	-99.99	73.53	41.1	117	17.912	0.05	17.283	0.031	9.25	1	32.45	1.22	1	20.19	3.57	1	1.42E+00	2.78E-01	1	1.58E+00	1.44E-01	1	1080.9	48.1	1	547.9	36	1	220.2	20	265	150	67	8.4	6.3	5.1	27.1	22.2	16.3	38.9	27.6	10.3	-
42	96013	0	6277	3596	0	17.04	7	0.027	170.52	162.96	180	-99.99	-99.99	13.621	0.03	9.77	1	486.99	11.72	1	426.93	16.12	1	1.21E+01	2.07E+00	1	1.86E+01	1.79E+00	1	9344.5	526.2	1	4353.9	395.5	1	1754.2	144.6	2431	1371	610	25	17.8	14.7	82	67.2	49.1	519.2	389.4	135.2	-
43	96022	0	6299	3608	0	15.83	0	-99.99	28.44	28.44	0	17.849	0.063	16.393	0.159	10.27	1	35.99	2.05	0	0	20.7	0	1.19E-01	0.00E+00	0	1.87E-01	0.00E+00	0	48.7	0	0	37.6	0	0	29.7	0	70	39	17	2.4	2	1.7	13.8	11.5	8.7	8.2	4.6	4.4	-
44	96026	0	6320	0	0	16.01	5	0.022	54.23	51.07	107	15.584	0.079	15.136	0.03	8.7	1	53.8	1.87	1	112.48	7.04	1	2.52E+00	1.97E-01	1	1.98E+00	2.08E-01	1	1109.7	57.5	1	512.8	37.7	1	196.3	21	242	138	63	8.3	6.2	4.9	25.9	21.3	15.8	50.6	30.4	13	-
45	291054	0	6330	3619	0	22.06	1	-99.99	78.03	75.05	115	16.976	0.053	16.198	0.036	10.25	1	87.58	5.57	1	49.51	8.25	1	1.78E+00	3.93E-01	1	2.72E+00	4.39E-01	3	1784.8	105.7	3	821.3	66.7	3	301.9	37.6	510	286	126	6.8	5.2	4.3	37.6	30.7	22.3	98.5	59	30	*
46	96029	0	6343	3626	0	21.34	1	-99.99	58.54	54.22	160	-99.99	-99.99	15.631	0.03	10.28	1	159.1	4.18	1	165.43	12.78	1	4.99E+00	2.72E-01	1	4.90E+00	2.84E-01	1	2114.3	52.6	1	857.3	40.4	1	281.1	20.5	277	155	68	6.2	4.2	3.1	27.7	22.6	16.4	44.3	33.3	11.9	-
